catch_id,date,site,species,sex,length_cm,weight_kg,gear,vessel,depth_m,water_temp_c,legal_size,value_aud
C1968,2023-01-01,Green Island,Red Emperor,F,64.9,3.71,line,FV-012,36.2,25.9,True,96.46
C1553,2023-01-01,Michaelmas Cay,Mangrove Jack,M,35.4,0.67,line,FV-088,33.1,24.2,True,13.4
C1269,2023-01-01,Michaelmas Cay,Red Emperor,U,47.2,1.39,net,FV-034,39.8,26.2,True,36.14
C1907,2023-01-01,Frankland Islands,Spanish Mackerel,F,79.9,3.95,net,FV-027,33.1,26.6,True,71.1
C1967,2023-01-02,Trinity Bay,Barramundi,M,64.9,4.01,net,FV-041,42.4,25.4,True,88.22
C0277,2023-01-02,Michaelmas Cay,Coral Trout,U,43.5,1.18,line,FV-058,4.4,26.0,True,33.04
C0359,2023-01-02,Michaelmas Cay,Grass Emperor,F,28.4,0.36,net,FV-058,41.3,26.4,True,5.4
C1405,2023-01-03,Green Island,Barramundi,M,69.5,4.85,line,FV-041,17.3,24.7,True,106.7
C0091,2023-01-04,Trinity Bay,Coral Trout,F,41.9,0.96,line,FV-088,4.3,26.9,True,26.88
C1117,2023-01-04,Green Island,Grass Emperor,M,28.7,0.35,trap,FV-088,19.3,26.9,True,5.25
C0499,2023-01-04,Cairns Inlet,Spanish Mackerel,M,79.0,4.37,trap,FV-071,34.1,26.8,True,78.66
C0628,2023-01-05,Trinity Bay,Red Emperor,M,47.2,1.53,line,FV-027,20.7,26.1,True,39.78
C0471,2023-01-05,Cairns Inlet,Coral Trout,U,49.2,1.66,spear,FV-034,29.3,26.6,True,46.48
C1262,2023-01-06,Fitzroy Reef,Red Emperor,F,45.2,1.45,line,FV-027,9.7,25.5,True,37.7
C0460,2023-01-07,Frankland Islands,Mangrove Jack,U,30.1,0.37,spear,FV-034,19.1,26.7,False,7.4
C0697,2023-01-07,Michaelmas Cay,Mangrove Jack,F,40.1,0.91,line,FV-063,39.1,26.9,True,18.2
C0696,2023-01-07,Cairns Inlet,Barramundi,U,60.5,2.84,spear,FV-088,23.7,26.8,True,62.48
C0869,2023-01-07,Frankland Islands,Barramundi,M,70.8,4.59,line,FV-071,18.1,26.5,True,100.98
C0736,2023-01-07,Green Island,Mangrove Jack,M,43.1,1.15,trap,FV-088,7.1,26.2,True,23.0
C0425,2023-01-10,Michaelmas Cay,Mangrove Jack,M,31.8,0.51,trap,FV-027,9.7,25.7,False,10.2
C1690,2023-01-10,Fitzroy Reef,Red Emperor,F,51.5,2.09,line,FV-012,11.1,27.1,True,54.34
C1199,2023-01-10,Frankland Islands,Coral Trout,M,43.0,1.2,trap,FV-041,32.3,26.9,True,33.6
C0175,2023-01-10,Frankland Islands,Grass Emperor,F,34.5,0.61,line,FV-063,42.3,26.0,True,9.15
C0185,2023-01-11,Fitzroy Reef,Spanish Mackerel,U,73.2,2.86,net,FV-058,36.5,27.0,False,51.48
C0534,2023-01-11,Green Island,Red Emperor,M,47.5,1.48,line,FV-058,37.6,26.8,True,38.48
C1159,2023-01-12,Michaelmas Cay,Grass Emperor,F,32.6,0.51,line,FV-071,20.9,26.2,True,7.65
C0591,2023-01-12,Frankland Islands,Mangrove Jack,M,30.3,0.42,spear,FV-034,17.8,26.8,False,8.4
C0725,2023-01-13,Trinity Bay,Mangrove Jack,M,32.3,0.47,spear,FV-041,29.5,26.6,False,9.4
C1710,2023-01-14,Trinity Bay,Barramundi,F,70.8,5.23,trap,FV-058,15.6,26.0,True,115.06
C1984,2023-01-14,Green Island,Coral Trout,F,40.5,0.89,trap,FV-071,30.9,27.7,True,24.92
C1744,2023-01-14,Michaelmas Cay,Mangrove Jack,M,36.8,0.67,spear,FV-012,9.6,26.8,True,13.4
C0721,2023-01-14,Cairns Inlet,Coral Trout,M,44.9,1.27,line,FV-012,28.8,26.4,True,35.56
C1726,2023-01-14,Frankland Islands,Red Emperor,F,57.0,2.5,line,FV-071,26.0,27.5,True,65.0
C0063,2023-01-14,Green Island,Mangrove Jack,M,46.0,1.38,spear,FV-034,6.3,26.7,True,27.6
C0790,2023-01-15,Trinity Bay,Mangrove Jack,M,36.7,0.74,line,FV-058,35.9,26.9,True,14.8
C1933,2023-01-15,Fitzroy Reef,Grass Emperor,F,29.0,0.38,trap,FV-063,13.3,27.0,True,5.7
C0913,2023-01-16,Green Island,Spanish Mackerel,F,84.3,5.22,line,FV-063,26.0,26.8,True,93.96
C0544,2023-01-16,Cairns Inlet,Barramundi,F,62.3,3.42,line,FV-027,31.5,26.6,True,75.24
C1285,2023-01-17,Michaelmas Cay,Mangrove Jack,M,54.4,2.36,line,FV-041,42.8,27.0,True,47.2
C0560,2023-01-18,Cairns Inlet,Mangrove Jack,M,31.5,0.46,line,FV-088,43.3,25.8,False,9.2
C1613,2023-01-18,Cairns Inlet,Spanish Mackerel,M,88.0,6.28,line,FV-027,39.6,26.9,True,113.04
C1251,2023-01-18,Green Island,Barramundi,M,75.2,5.97,spear,FV-041,7.3,26.6,True,131.34
